"IDs","Arabinose","Galactose","Glucose","Xylose","Mannose","insoluble.lignin","soluble.lignin","holocellulose","alpha.cellulose","hemicellulose","Syringyl.lignin.monomers....","Fiber.length.Lw..length.weighted.","MFA..first.growth.ring.from.bark.","MFA..first.growth.ring.from.pith.","X.crystallinity..w_c.","average.wood.density","total.lignin"
"SLMB-28-2",0.557060673,0.211936027,49.01525616,19.59814563,2.805906425,17.70901909,2.84592136,69.13229018,39.35464656,29.77764363,75.19,0.973,17.96,19.16,49.5,391.31,20.55494045
"SLMB-28-3",0.597152388,0.473439986,55.62557625,18.88660119,2.991642034,19.46564885,2.696102244,66.85198054,39.36624673,27.48573381,74.18,0.938,16.53,23,56.82,361.64,22.1617511
"SLMC-28-1",0.497411029,0.24878136,50.02112336,18.78263352,3.379932395,20.24901704,2.377963779,66.9869983,38.41472293,28.57227538,69.8,0.983,18.92,19.64,48.08,346.54,22.62698082
"SLMC-28-2",0.470707101,0.131193184,51.73445089,19.07640994,3.297304657,19.78643216,2.550593878,68.97274633,39.31958034,29.65316599,73.01,1.011,16.77,22.04,46.3,386.98,22.33702604
"SLMC-28-3",0.486032604,0.195816823,51.75243133,19.01945856,2.823834646,20.35851472,2.646432313,70.56686047,40.13968746,30.42717301,72.71,0.887,17.85,19.4,43.86,362.95,23.00494704
"SLMD-28-1",0.463461245,0.460206326,47.8845393,16.98311053,2.367514617,19.15393655,2.079238329,65.72036906,36.71699308,29.00337598,72.73,0.894,17.73,20.24,51.02,378.4,21.23317487
"SLMD-28-5",0.493189059,0.177041599,54.2101898,19.50917659,3.081925234,19.07552083,2.473425663,69.83282675,40.02577186,29.80705488,70.61,0.842,17.73,18.32,46.73,348.42,21.5489465
"SQMA-25-1",0.5254667,0.394903059,58.491926,24.21967612,3.934495698,19.82378855,2.422507008,68.92405063,39.19190571,29.73214492,70.98,0.917,19.52,22.28,51.02,414.73,22.24629555
"SQMA-25-4",0.468643286,0.367912309,53.3464521,20.16445412,3.628081543,18.90895914,2.364111026,68.50133605,38.84346361,29.65787244,71.38916569,0.991,19.10290625,19.7617375,49.02431991,414.74,21.27307017
"SQMA-25-5",0.448977787,0.082731961,49.48032447,18.47991036,3.323280332,20.58080808,1.848025712,68.13902969,39.8154563,28.32357338,62.78,1.012,14.49,20.6,50.51,369.35,22.42883379
"SQMB-25-3",0.387279114,0.233024699,51.64672184,18.07781734,2.938283604,19.58568738,2.393454317,73.52546917,42.1268758,31.39859337,73.57,0.972,19.88,21.8,47.39,423.05,21.9791417
"SQMB-25-4",0.457344068,0.109584467,50.39105237,18.32851929,3.3569187,19.00065746,2.32185763,70.24734982,40.60236917,29.64498066,70.04,0.93,15.33,18.32,53.19,394.96,21.32251509
"SQMC-25-1",0.537058286,0.310303526,54.94830687,17.80052553,2.668696615,19.0926276,2.138998682,67.92982456,41.0761062,26.85371836,69.19,1.006,17.01,20,52.36,469.92,21.23162628
"SQMC-25-2",0.505074056,0.245037263,47.99705426,21.13442264,3.867116653,20.31446541,2.813522013,70.76363636,38.61787122,32.14576515,73.65,0.745,20.72,20.6,47.17,438.55,23.12798742
"SQMC-25-4",0.507919949,0.185232999,47.29312635,18.69753794,2.633597952,20.3989704,2.682929683,69.97808619,40.12565017,29.85243603,74.58,0.54,19.64,20,48.31,368.74,23.08190008
"SQMC-25-5",0.446336154,0.295160928,54.15554544,20.14610027,2.600735021,18.66493843,2.61533023,66.80299932,39.08946527,27.71353405,71.85,0.976,17.73,20.12,50.76,411.63,21.28026866
"STHA-21-3",0.410346275,0.095617332,45.81206132,16.18629794,3.058507927,19.86386139,2.244880738,65.77275935,38.24855103,27.52420832,70.52,1.1,20.48,21.2,51.02,397.21,22.10874212
"STHA-21-4",0.491897037,0.279424151,50.77795402,19.99111398,3.579587289,17.1893848,2.689933107,70.95463778,39.85933144,31.09530634,74.48,1.053,20.48,22.04,49.26,412.28,19.87931791
"STHA-21-5",0.413156154,0.280953279,54.07385031,17.29425809,2.86523737,18.97233202,2.587465565,70.21572721,40.8885668,29.32716041,73.38,0.947,18.08,19.04,46.08,390.43,21.55979758
